antibodytarget,cellline,tissue,cid,compound,concentration,concordancetable,datasetid,factor,level1,level2,libraryid,lincspertid,nCtrSamples,nTrtSamples,peaktype,platform,signatureid,lincsSigID,organism,clueIoCompound,integratedMoas,GeneTargets,time,treatment,perturbagenID,stitchID,pubChemID,is_exemplar,pert_type
,MCF7,breast,cID_1062,isoconazole,9.6uM,concordanceLib2,,perturbagen,isoconazole_0.0000096,control,LIB_2,LSM-6515,12.0,2.0,,,CMAP_1062,,,,,,,isoconazole,,CID3760,3760,,
,PC3,prostate,cID_1063,isoconazole,9.6uM,concordanceLib2,,perturbagen,isoconazole_0.0000096,control,LIB_2,LSM-6515,12.0,2.0,,,CMAP_1063,,,,,,,isoconazole,,CID3760,3760,,
,MCF7,breast,cID_1074,nicergoline,8.2uM,concordanceLib2,,perturbagen,nicergoline_0.0000082,control,LIB_2,LSM-3720,12.0,2.0,,,CMAP_1074,,,,Adrenergic receptor antagonist,ADRA1A,,nicergoline,,CID34040,34040,,
,MCF7,breast,cID_1108,spironolactone,9.6uM,concordanceLib2,,perturbagen,spironolactone_0.0000096,control,LIB_2,LSM-4018,12.0,2.0,,,CMAP_1108,,,,Mineralocorticoid receptor antagonist,NR3C2,,spironolactone,,CID5833,5833,,
,MCF7,breast,cID_1114,terfenadine,8.4uM,concordanceLib2,,perturbagen,terfenadine_0.0000084,control,LIB_2,LSM-1273,12.0,2.0,,,CMAP_1114,,,,Histamine receptor antagonist,HRH1|KCNH2,,terfenadine,,CID5405,5405,,
,PC3,prostate,cID_1125,mianserin,13.2uM,concordanceLib2,,perturbagen,mianserin_0.0000132,control,LIB_2,LSM-1374,12.0,2.0,,,CMAP_1125,,,,Serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD2|HRH1|HTR1A|HTR2A|HTR2B|HTR2C|HTR6|HTR7,,mianserin,,CID4184,4184,,
,MCF7,breast,cID_1154,thioproperazine,6.2uM,concordanceLib2,,perturbagen,thioproperazine_0.0000062,control,LIB_2,LSM-2170,12.0,2.0,,,CMAP_1154,,,,Dopamine receptor antagonist,,,thioproperazine,,CID9429,9429,,
,MCF7,breast,cID_118,15-delta prostaglandin J2,10uM,concordanceLib2,,perturbagen,15-delta prostaglandin J2_0.00001,control,LIB_2,LSM-43081,43.0,8.0,,,CMAP_118,,,,PPAR receptor agonist,PPARG,,15-delta prostaglandin J2,,CID5311211,5311211,,
,HL60,haematopoietic and lymphoid tissue,cID_119,15-delta prostaglandin J2,10uM,concordanceLib2,,perturbagen,15-delta prostaglandin J2_0.00001,control,LIB_2,LSM-43081,17.0,3.0,,,CMAP_119,,,,PPAR receptor agonist,PPARG,,15-delta prostaglandin J2,,CID5311211,5311211,,
,MCF7,breast,cID_1190,dihydroergotamine,3uM,concordanceLib2,,perturbagen,dihydroergotamine_0.000003,control,LIB_2,LSM-3619,12.0,2.0,,,CMAP_1190,,,,Serotonin 1d (5-HT1d) receptor agonist (Serotonin 1d,HTR1B|HTR1D,,dihydroergotamine,,CID10531,10531,,
,PC3,prostate,cID_120,15-delta prostaglandin J2,10uM,concordanceLib2,,perturbagen,15-delta prostaglandin J2_0.00001,control,LIB_2,LSM-43081,13.0,3.0,,,CMAP_120,,,,PPAR receptor agonist,PPARG,,15-delta prostaglandin J2,,CID5311211,5311211,,
,MCF7,breast,cID_1266,antimycin A,7.2uM,concordanceLib2,,perturbagen,antimycin A_0.0000072,control,LIB_2,LSM-5076,12.0,2.0,,,CMAP_1266,,,,ATP synthase inhibitor,CYCS,,antimycin A,,CID16218979,16218979,,
,PC3,prostate,cID_1267,antimycin A,7.2uM,concordanceLib2,,perturbagen,antimycin A_0.0000072,control,LIB_2,LSM-5076,11.0,2.0,,,CMAP_1267,,,,ATP synthase inhibitor,CYCS,,antimycin A,,CID16218979,16218979,,
,MCF7,breast,cID_127,raloxifene,7.8uM,concordanceLib2,,perturbagen,raloxifene_0.0000078,control,LIB_2,LSM-3425,11.0,2.0,,,CMAP_127,,,,Estrogen receptor beta modulator,ESR1|ESR2,,raloxifene,,CID5035,5035,,
,MCF7,breast,cID_128,raloxifene,"0.1uM,7.8uM",concordanceLib2,,perturbagen,"raloxifene_0.0000001,0.0000078",control,LIB_2,LSM-3425,12.0,3.0,,,CMAP_128,,,,Estrogen receptor beta modulator,ESR1|ESR2,,raloxifene,,CID5035,5035,,
,MCF7,breast,cID_1282,tranylcypromine,23.6uM,concordanceLib2,,perturbagen,tranylcypromine_0.0000236,control,LIB_2,LSM-5578,12.0,2.0,,,CMAP_1282,,,,Monoamine oxidase inhibitor,KDM1A|MAOA|MAOB,,tranylcypromine,,CID19493,19493,,
,MCF7,breast,cID_132,nordihydroguaiaretic acid,1uM,concordanceLib2,,perturbagen,nordihydroguaiaretic acid_0.000001,control,LIB_2,LSM-6507,43.0,8.0,,,CMAP_132,,,,,,,nordihydroguaiaretic acid,,CID4534,4534,,
,PC3,prostate,cID_1417,cimetidine,15.8uM,concordanceLib2,,perturbagen,cimetidine_0.0000158,control,LIB_2,LSM-2404,11.0,2.0,,,CMAP_1417,,,,Histamine receptor antagonist,HRH2,,cimetidine,,CID2756,2756,,
,MCF7,breast,cID_1474,ticlopidine,13.4uM,concordanceLib2,,perturbagen,ticlopidine_0.0000134,control,LIB_2,LSM-1986,12.0,2.0,,,CMAP_1474,,,,Purinergic receptor P2Y12 antagonist,P2RY12,,ticlopidine,,CID5472,5472,,
,MCF7,breast,cID_1484,miconazole,9.6uM,concordanceLib2,,perturbagen,miconazole_0.0000096,control,LIB_2,LSM-5165,11.0,2.0,,,CMAP_1484,,,,Cytochrome P450 51 inhibitor,,,miconazole,,CID4189,4189,,
,MCF7,breast,cID_1520,dicycloverine,11.6uM,concordanceLib2,,perturbagen,dicycloverine_0.0000116,control,LIB_2,LSM-3534,12.0,2.0,,,CMAP_1520,,,,Muscarinic acetylcholine receptor M3 antagonist|Muscarinic acetylcholine receptor M1 antagonist,CHRM1|CHRM2|CHRM3,,dicycloverine,,CID3042,3042,,
,PC3,prostate,cID_1521,dicycloverine,11.6uM,concordanceLib2,,perturbagen,dicycloverine_0.0000116,control,LIB_2,LSM-3534,12.0,2.0,,,CMAP_1521,,,,Muscarinic acetylcholine receptor M3 antagonist|Muscarinic acetylcholine receptor M1 antagonist,CHRM1|CHRM2|CHRM3,,dicycloverine,,CID3042,3042,,
,MCF7,breast,cID_158,tanespimycin,1uM,concordanceLib2,,perturbagen,tanespimycin_0.000001,control,LIB_2,LSM-43238,64.0,35.0,,,CMAP_158,,,,Heat shock protein HSP90 inhibitor,HSP90AA1|HSP90AB1,,tanespimycin,,CID6505803,6505803,,
,HL60,haematopoietic and lymphoid tissue,cID_159,tanespimycin,1uM,concordanceLib2,,perturbagen,tanespimycin_0.000001,control,LIB_2,LSM-43238,17.0,12.0,,,CMAP_159,,,,Heat shock protein HSP90 inhibitor,HSP90AA1|HSP90AB1,,tanespimycin,,CID6505803,6505803,,
,PC3,prostate,cID_160,tanespimycin,1uM,concordanceLib2,,perturbagen,tanespimycin_0.000001,control,LIB_2,LSM-43238,16.0,12.0,,,CMAP_160,,,,Heat shock protein HSP90 inhibitor,HSP90AA1|HSP90AB1,,tanespimycin,,CID6505803,6505803,,
,MCF7,breast,cID_1600,niclosamide,12.2uM,concordanceLib2,,perturbagen,niclosamide_0.0000122,control,LIB_2,LSM-2787,11.0,2.0,,,CMAP_1600,,,,DNA replication inhibitor|STAT inhibitor,STAT3,,niclosamide,,CID4477,4477,,
,PC3,prostate,cID_1601,niclosamide,12.2uM,concordanceLib2,,perturbagen,niclosamide_0.0000122,control,LIB_2,LSM-2787,11.0,2.0,,,CMAP_1601,,,,DNA replication inhibitor|STAT inhibitor,STAT3,,niclosamide,,CID4477,4477,,
,MCF7,breast,cID_161,tanespimycin,"0.1uM,1uM",concordanceLib2,,perturbagen,"tanespimycin_0.0000001,0.000001",control,LIB_2,LSM-43238,65.0,36.0,,,CMAP_161,,,,Heat shock protein HSP90 inhibitor,HSP90AA1|HSP90AB1,,tanespimycin,,CID6505803,6505803,,
,PC3,prostate,cID_1631,metronidazole,23.4uM,concordanceLib2,,perturbagen,metronidazole_0.0000234,control,LIB_2,LSM-5628,11.0,2.0,,,CMAP_1631,,,,DNA inhibitor,CYP2C9|CYP3A4,,metronidazole,,CID4173,4173,,
,MCF7,breast,cID_168,tretinoin,1uM,concordanceLib2,,perturbagen,tretinoin_0.000001,control,LIB_2,LSM-42854,56.0,11.0,,,CMAP_168,,,,Retinoic acid receptor agonist,RARA|RARB|RARG|RORB,,tretinoin,,CID444795,444795,,
,MCF7,breast,cID_1684,amoxapine,12.8uM,concordanceLib2,,perturbagen,amoxapine_0.0000128,control,LIB_2,LSM-2021,12.0,2.0,,,CMAP_1684,,,,Serotonin transporter inhibitor|Norepinephrine transporter inhibitor|Dopamine receptor antagonist,DRD1|DRD2|DRD3|DRD4|DRD5|HTR2A|HTR6|SLC6A2|SLC6A4,,amoxapine,,CID2170,2170,,
,HL60,haematopoietic and lymphoid tissue,cID_169,tretinoin,1uM,concordanceLib2,,perturbagen,tretinoin_0.000001,control,LIB_2,LSM-42854,18.0,4.0,,,CMAP_169,,,,Retinoic acid receptor agonist,RARA|RARB|RARG|RORB,,tretinoin,,CID444795,444795,,
,MCF7,breast,cID_17,valproic acid,1000uM,concordanceLib2,,perturbagen,valproic acid_0.001,control,LIB_2,LSM-4620,43.0,8.0,,,CMAP_17,,,,Succinate semialdehyde dehydrogenase inhibitor,ABAT|ALDH5A1|HDAC1|SCN1A|SCN3A,,valproic acid,,CID3121,3121,,
,MCF7,breast,cID_1706,dipyridamole,8uM,concordanceLib2,,perturbagen,dipyridamole_0.000008,control,LIB_2,LSM-3927,18.0,3.0,,,CMAP_1706,,,,"Equilibrative nucleoside transporter 1 inhibitor|3',5'-cyclic phosphodiesterase inhibitor",ADA|PDE10A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE6D|PDE6G|PDE6H|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|SLC29A1,,dipyridamole,,CID3108,3108,,
,MCF7,breast,cID_172,tretinoin,13.4uM,concordanceLib2,,perturbagen,tretinoin_0.0000134,control,LIB_2,LSM-42854,11.0,2.0,,,CMAP_172,,,,Retinoic acid receptor agonist,RARA|RARB|RARG|RORB,,tretinoin,,CID444795,444795,,
,MCF7,breast,cID_1724,azacyclonol,15uM,concordanceLib2,,perturbagen,azacyclonol_0.000015,control,LIB_2,LSM-4191,11.0,2.0,,,CMAP_1724,,,,Histamine receptor antagonist,,,azacyclonol,,CID15723,15723,,
,PC3,prostate,cID_1725,azacyclonol,15uM,concordanceLib2,,perturbagen,azacyclonol_0.000015,control,LIB_2,LSM-4191,11.0,2.0,,,CMAP_1725,,,,Histamine receptor antagonist,,,azacyclonol,,CID15723,15723,,
,MCF7,breast,cID_173,tretinoin,"1uM,13.4uM",concordanceLib2,,perturbagen,"tretinoin_0.000001,0.0000134",control,LIB_2,LSM-42854,67.0,13.0,,,CMAP_173,,,,Retinoic acid receptor agonist,RARA|RARB|RARG|RORB,,tretinoin,,CID444795,444795,,
,MCF7,breast,cID_1730,cyproheptadine,12.4uM,concordanceLib2,,perturbagen,cyproheptadine_0.0000124,control,LIB_2,LSM-5419,12.0,2.0,,,CMAP_1730,,,,Histamine H1 receptor antagonist,HRH1,,cyproheptadine,,CID2913,2913,,
,PC3,prostate,cID_1731,cyproheptadine,12.4uM,concordanceLib2,,perturbagen,cyproheptadine_0.0000124,control,LIB_2,LSM-5419,12.0,2.0,,,CMAP_1731,,,,Histamine H1 receptor antagonist,HRH1,,cyproheptadine,,CID2913,2913,,
,HL60,haematopoietic and lymphoid tissue,cID_174,tretinoin,"1uM,13.4uM",concordanceLib2,,perturbagen,"tretinoin_0.000001,0.0000134",control,LIB_2,LSM-42854,23.0,5.0,,,CMAP_174,,,,Retinoic acid receptor agonist,RARA|RARB|RARG|RORB,,tretinoin,,CID444795,444795,,
,MCF7,breast,cID_1754,chlorhexidine,8uM,concordanceLib2,,perturbagen,chlorhexidine_0.000008,control,LIB_2,LSM-5633,11.0,2.0,,,CMAP_1754,,,,Membrane integrity inhibitor,,,chlorhexidine,,CID2713,2713,,
,PC3,prostate,cID_1755,chlorhexidine,8uM,concordanceLib2,,perturbagen,chlorhexidine_0.000008,control,LIB_2,LSM-5633,11.0,2.0,,,CMAP_1755,,,,Membrane integrity inhibitor,,,chlorhexidine,,CID2713,2713,,
,MCF7,breast,cID_178,LY-294002,10uM,concordanceLib2,,perturbagen,LY-294002_0.00001,control,LIB_2,LSM-2597,47.0,26.0,,,CMAP_178,,,,MTOR inhibitor|DNA dependent protein kinase inhibitor|Phosphodiesterase inhibitor|PLK inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC,,LY-294002,,CID3973,3973,,
,PC3,prostate,cID_1789,diltiazem,8.8uM,concordanceLib2,,perturbagen,diltiazem_0.0000088,control,LIB_2,LSM-2523,12.0,2.0,,,CMAP_1789,,,,Voltage-gated L-type calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1S,,diltiazem,,CID39186,39186,,
,HL60,haematopoietic and lymphoid tissue,cID_179,LY-294002,10uM,concordanceLib2,,perturbagen,LY-294002_0.00001,control,LIB_2,LSM-2597,18.0,10.0,,,CMAP_179,,,,MTOR inhibitor|DNA dependent protein kinase inhibitor|Phosphodiesterase inhibitor|PLK inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC,,LY-294002,,CID3973,3973,,
,MCF7,breast,cID_1794,loperamide,7.8uM,concordanceLib2,,perturbagen,loperamide_0.0000078,control,LIB_2,LSM-3365,18.0,3.0,,,CMAP_1794,,,,Mu opioid receptor agonist,OPRD1|OPRM1,,loperamide,,CID3955,3955,,
,HL60,haematopoietic and lymphoid tissue,cID_18,valproic acid,1000uM,concordanceLib2,,perturbagen,valproic acid_0.001,control,LIB_2,LSM-4620,18.0,4.0,,,CMAP_18,,,,Succinate semialdehyde dehydrogenase inhibitor,ABAT|ALDH5A1|HDAC1|SCN1A|SCN3A,,valproic acid,,CID3121,3121,,
,PC3,prostate,cID_180,LY-294002,10uM,concordanceLib2,,perturbagen,LY-294002_0.00001,control,LIB_2,LSM-2597,16.0,10.0,,,CMAP_180,,,,MTOR inhibitor|DNA dependent protein kinase inhibitor|Phosphodiesterase inhibitor|PLK inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC,,LY-294002,,CID3973,3973,,
,MCF7,breast,cID_1812,lynestrenol,14uM,concordanceLib2,,perturbagen,lynestrenol_0.000014,control,LIB_2,LSM-6592,12.0,2.0,,,CMAP_1812,,,,,,,lynestrenol,,CID5857,5857,,
,MCF7,breast,cID_1822,perphenazine,10uM,concordanceLib2,,perturbagen,perphenazine_0.00001,control,LIB_2,LSM-2224,11.0,2.0,,,CMAP_1822,,,,Dopamine D2 receptor antagonist,DRD2,,perphenazine,,CID4748,4748,,
,PC3,prostate,cID_1823,perphenazine,10uM,concordanceLib2,,perturbagen,perphenazine_0.00001,control,LIB_2,LSM-2224,12.0,2.0,,,CMAP_1823,,,,Dopamine D2 receptor antagonist,DRD2,,perphenazine,,CID4748,4748,,
,MCF7,breast,cID_185,LY-294002,"10uM,0.1uM",concordanceLib2,,perturbagen,"LY-294002_0.00001,0.0000001",control,LIB_2,LSM-2597,48.0,34.0,,,CMAP_185,,,,MTOR inhibitor|DNA dependent protein kinase inhibitor|Phosphodiesterase inhibitor|PLK inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC,,LY-294002,,CID3973,3973,,
,MCF7,breast,cID_1856,albendazole,15uM,concordanceLib2,,perturbagen,albendazole_0.000015,control,LIB_2,LSM-3782,10.0,2.0,,,CMAP_1856,,,,Tubulin inhibitor,,,albendazole,,CID2082,2082,,
,HL60,haematopoietic and lymphoid tissue,cID_186,LY-294002,"10uM,0.1uM",concordanceLib2,,perturbagen,"LY-294002_0.00001,0.0000001",control,LIB_2,LSM-2597,18.0,13.0,,,CMAP_186,,,,MTOR inhibitor|DNA dependent protein kinase inhibitor|Phosphodiesterase inhibitor|PLK inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC,,LY-294002,,CID3973,3973,,
,MCF7,breast,cID_1864,oxybutynin,10.2uM,concordanceLib2,,perturbagen,oxybutynin_0.0000102,control,LIB_2,LSM-5111,10.0,2.0,,,CMAP_1864,,,,Muscarinic acetylcholine receptor M3 antagonist|Muscarinic acetylcholine receptor M2 antagonist,CHRM1|CHRM2|CHRM3,,oxybutynin,,CID4634,4634,,
,PC3,prostate,cID_187,LY-294002,"10uM,0.1uM",concordanceLib2,,perturbagen,"LY-294002_0.00001,0.0000001",control,LIB_2,LSM-2597,16.0,12.0,,,CMAP_187,,,,MTOR inhibitor|DNA dependent protein kinase inhibitor|Phosphodiesterase inhibitor|PLK inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC,,LY-294002,,CID3973,3973,,
,MCF7,breast,cID_1896,pimozide,8.6uM,concordanceLib2,,perturbagen,pimozide_0.0000086,control,LIB_2,LSM-2001,10.0,2.0,,,CMAP_1896,,,,Dopamine receptor antagonist|Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a,DRD1|DRD2|DRD3|DRD4|DRD5|HTR2A,,pimozide,,CID16362,16362,,
,PC3,prostate,cID_19,valproic acid,1000uM,concordanceLib2,,perturbagen,valproic acid_0.001,control,LIB_2,LSM-4620,14.0,4.0,,,CMAP_19,,,,Succinate semialdehyde dehydrogenase inhibitor,ABAT|ALDH5A1|HDAC1|SCN1A|SCN3A,,valproic acid,,CID3121,3121,,
,MCF7,breast,cID_1908,clomipramine,11.4uM,concordanceLib2,,perturbagen,clomipramine_0.0000114,control,LIB_2,LSM-3171,11.0,2.0,,,CMAP_1908,,,,Serotonin transporter inhibitor,SLC6A2|SLC6A4,,clomipramine,,CID2801,2801,,
,MCF7,breast,cID_192,ciclosporin,3.4uM,concordanceLib2,,perturbagen,ciclosporin_0.0000034,control,LIB_2,LSM-42883,11.0,2.0,,,CMAP_192,,,,Cyclophilin A modulator,PPIA|PPP3CA,,ciclosporin,,CID5284373,5284373,,
,MCF7,breast,cID_1920,mifepristone,9.4uM,concordanceLib2,,perturbagen,mifepristone_0.0000094,control,LIB_2,LSM-2822,10.0,2.0,,,CMAP_1920,,,,Glucocorticoid receptor antagonist|Progesterone receptor antagonist,AR|NR3C1|PGR,,mifepristone,,CID55245,55245,,
,MCF7,breast,cID_1924,amodiaquine,8.6uM,concordanceLib2,,perturbagen,amodiaquine_0.0000086,control,LIB_2,LSM-4042,11.0,2.0,,,CMAP_1924,,,,Histamine receptor agonist,HNMT,,amodiaquine,,CID2165,2165,,
,MCF7,breast,cID_193,ciclosporin,"1uM,3.4uM",concordanceLib2,,perturbagen,"ciclosporin_0.000001,0.0000034",control,LIB_2,LSM-42883,13.0,4.0,,,CMAP_193,,,,Cyclophilin A modulator,PPIA|PPP3CA,,ciclosporin,,CID5284373,5284373,,
,MCF7,breast,cID_1936,fendiline,11.4uM,concordanceLib2,,perturbagen,fendiline_0.0000114,control,LIB_2,LSM-5133,10.0,2.0,,,CMAP_1936,,,,Calcium channel blocker,,,fendiline,,CID3336,3336,,
,MCF7,breast,cID_2012,desipramine,13.2uM,concordanceLib2,,perturbagen,desipramine_0.0000132,control,LIB_2,LSM-3351,12.0,2.0,,,CMAP_2012,,,,Norepinephrine transporter inhibitor,SLC6A2|SLC6A4,,desipramine,,CID2995,2995,,
,MCF7,breast,cID_2020,methotrexate,8.8uM,concordanceLib2,,perturbagen,methotrexate_0.0000088,control,LIB_2,LSM-5690,17.0,3.0,,,CMAP_2020,,,,Dihydrofolate reductase inhibitor,DHFR,,methotrexate,,CID126941,126941,,
,HL60,haematopoietic and lymphoid tissue,cID_2021,methotrexate,8.8uM,concordanceLib2,,perturbagen,methotrexate_0.0000088,control,LIB_2,LSM-5690,12.0,2.0,,,CMAP_2021,,,,Dihydrofolate reductase inhibitor,DHFR,,methotrexate,,CID126941,126941,,
,PC3,prostate,cID_2022,methotrexate,8.8uM,concordanceLib2,,perturbagen,methotrexate_0.0000088,control,LIB_2,LSM-5690,17.0,3.0,,,CMAP_2022,,,,Dihydrofolate reductase inhibitor,DHFR,,methotrexate,,CID126941,126941,,
,MCF7,breast,cID_2044,clorgiline,13uM,concordanceLib2,,perturbagen,clorgiline_0.000013,control,LIB_2,LSM-5808,12.0,2.0,,,CMAP_2044,,,,Monoamine oxidase inhibitor,MAOA,,clorgiline,,CID4380,4380,,
,MCF7,breast,cID_2052,metergoline,10uM,concordanceLib2,,perturbagen,metergoline_0.00001,control,LIB_2,LSM-3265,12.0,2.0,,,CMAP_2052,,,,Dopamine receptor agonist|Serotonin receptor antagonist,HTR1A|HTR2A,,metergoline,,CID28693,28693,,
,MCF7,breast,cID_2076,hycanthone,11.2uM,concordanceLib2,,perturbagen,hycanthone_0.0000112,control,LIB_2,LSM-5614,11.0,2.0,,,CMAP_2076,,,,RNA synthesis inhibitor,,,hycanthone,,CID3634,3634,,
,MCF7,breast,cID_2084,metitepine,8.4uM,concordanceLib2,,perturbagen,metitepine_0.0000084,control,LIB_2,LSM-4320,11.0,2.0,,,CMAP_2084,,,,Anti-HCVE2,HTR5A|HTR6|HTR7,,metitepine,,CID4106,4106,,
,MCF7,breast,cID_2100,maprotiline,12.8uM,concordanceLib2,,perturbagen,maprotiline_0.0000128,control,LIB_2,LSM-2043,12.0,2.0,,,CMAP_2100,,,,Norepinephrine transporter inhibitor,SLC6A2,,maprotiline,,CID4011,4011,,
,MCF7,breast,cID_2104,adenosine phosphate,11uM,concordanceLib2,,perturbagen,adenosine phosphate_0.000011,control,LIB_2,LSM-5914,12.0,2.0,,,CMAP_2104,,,,Adenosine receptor agonist,ADCY1,,adenosine phosphate,,CID6083,6083,,
,MCF7,breast,cID_2112,clofazimine,8.4uM,concordanceLib2,,perturbagen,clofazimine_0.0000084,control,LIB_2,LSM-5669,18.0,3.0,,,CMAP_2112,,,,GK0582 inhibitor,,,clofazimine,,CID2794,2794,,
,MCF7,breast,cID_2116,vanoxerine,7.6uM,concordanceLib2,,perturbagen,vanoxerine_0.0000076,control,LIB_2,LSM-2703,11.0,2.0,,,CMAP_2116,,,,Dopamine uptake inhibitor,SLC6A3,,vanoxerine,,CID3455,3455,,
,MCF7,breast,cID_2120,etoposide,6.8uM,concordanceLib2,,perturbagen,etoposide_0.0000068,control,LIB_2,LSM-6348,12.0,2.0,,,CMAP_2120,,,,DNA topoisomerase II inhibitor,TOP2A|TOP2B,,etoposide,,CID36462,36462,,
,MCF7,breast,cID_2126,8-azaguanine,26.2uM,concordanceLib2,,perturbagen,8-azaguanine_0.0000262,control,LIB_2,LSM-6615,12.0,2.0,,,CMAP_2126,,,,,,,8-azaguanine,,CID8646,8646,,
,MCF7,breast,cID_2198,imipramine,12.6uM,concordanceLib2,,perturbagen,imipramine_0.0000126,control,LIB_2,LSM-2852,11.0,2.0,,,CMAP_2198,,,,Serotonin transporter inhibitor|Norepinephrine transporter inhibitor,CHRM2|SLC6A2|SLC6A4,,imipramine,,CID3696,3696,,
,MCF7,breast,cID_220,genistein,10uM,concordanceLib2,,perturbagen,genistein_0.00001,control,LIB_2,LSM-5549,44.0,9.0,,,CMAP_220,,,,Tyrosine kinase inhibitor,CFTR|ESR2,,genistein,,CID5280961,5280961,,
,HL60,haematopoietic and lymphoid tissue,cID_221,genistein,10uM,concordanceLib2,,perturbagen,genistein_0.00001,control,LIB_2,LSM-5549,17.0,3.0,,,CMAP_221,,,,Tyrosine kinase inhibitor,CFTR|ESR2,,genistein,,CID5280961,5280961,,
,MCF7,breast,cID_223,genistein,1uM,concordanceLib2,,perturbagen,genistein_0.000001,control,LIB_2,LSM-5549,1.0,2.0,,,CMAP_223,,,,Tyrosine kinase inhibitor,CFTR|ESR2,,genistein,,CID5280961,5280961,,
,MCF7,breast,cID_2238,noretynodrel,13.4uM,concordanceLib2,,perturbagen,noretynodrel_0.0000134,control,LIB_2,LSM-3807,12.0,2.0,,,CMAP_2238,,,,Progesterone receptor agonist,PGR,,noretynodrel,,CID6231,6231,,
